,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
935,Riverside Retreat Epic Views & Fireplace! 30 Days+,South Portland,0,123,30,148,166
936,Sun-filled charmer: Two full baths!,Sellwood-Moreland Improvement League,0,157,3,41,126
937,Private Suite in the Heart of Portland !,Kerns,0,79,2,74,135
938,"New basement Studio, Mississippi neighborhood",Boise,0,80,30,48,227
939,1920s Bungalow in NoPo,Piedmont,1,35,2,169,17
940,"Private Cozy Retreat, inner SE Portland/Reed Area",Reed,0,72,1,252,12
941,Comfortable and charming studio,Hazelwood,0,59,2,235,70
942,Quiet Oasis for Women Travelers - Queen Room,St. Johns,1,48,2,40,84
943,Beautiful NE Portland Craftsman- 30 Day minimum,Vernon,0,99,30,24,175
944,Beautiful Oasis in NE Portland!,Roseway,1,61,1,9,135
945,"Cozy, eclectic SE Portland upside down penthouse",Reed,0,84,2,170,85
946,Charming studio Multnomah village,Maplewood,0,120,1,226,145
947,Quiet Stay In Overlook,Overlook,1,30,1,288,122
948,The Klickitat - Vintage + Modern Studio,Roseway,0,66,2,198,169
949,Gold Dog BBD  2 BedRooms & 2 Bathrooms,Pleasant Valley,1,175,1,82,1
950,Beautiful Craftsman Home! Inner SE Portland Reed,Reed,0,99,1,223,103
951,Portland's Hawthorne Hideaway - 2 bdrms Own floor,Richmond,0,99,1,75,148
952,Huge Mt Tabor Studio with Courtyard Entry,South Tabor,0,64,2,364,257
953,The Westmoreland Lighthouse - Private studio in SE,Sellwood-Moreland Improvement League,0,93,2,392,155
954,A Home Should Be Your Favorite Place In The World!,Kenton,1,50,1,280,363
955,The Couch St Duplex-30 day minimum stay,Kerns,0,130,30,7,318
956,Alberta Arts Gem Brimming with Color and Light,Concordia,0,268,2,166,341
957,Long-Term Rental - Cozy Cottage SW Portland,Markham,0,54,153,11,365
958,Center of PDX 2B+ loft w/garage!,Grant Park,0,115,30,112,207
959,Foodie Fun at the Urban Owl - Division/Hawthorne,Hosford-Abernethy,0,113,2,285,226
960,"Like a Studio, Private Entrance. Walk to shops",St. Johns,1,56,3,107,167
961,Mod Cool Private Entrance Space in SE Portland!,Mt. Scott-Arleta,0,105,3,213,148
962,KING size bed in DIY art gallery,Richmond,1,50,1,200,360
963,Pine Manor: Fin de Siècle Stunner!,Buckman,0,318,3,101,164
964,Cozy studio convenient to Downtown PDX,Arbor Lodge,0,71,1,341,255
965,"Two Palms: Spacious, central, remodeled 5bd beauty",Concordia,0,271,3,172,318
966,"Cozy 2 bdrm apt, walk to literally everything!",Hosford-Abernethy,0,147,2,135,253
967,"New apartment near Alberta, Williams, Missippippi",King,0,104,1,189,26
968,Modern Sanctuary in the heart of Concordia.,Concordia,0,122,1,374,157
969,⁂ Private Pinball Bungalow ⁂,Concordia,0,79,1,237,0
970,"Modern Spacious Alberta Arts: Walk to Cafes, Parks",Concordia,0,175,30,137,80
971,Spacious apt in SE Portland home,Richmond,0,95,2,107,42
972,Guesthouse room for extended stays--very close in,Buckman,1,44,30,1,109
973,Lux private rooms in stylish inner SE craftsman,Richmond,1,59,1,104,0
974,Spacious Loft in the Heart of Southeast PDX,Richmond,0,56,2,219,0
975,"Little Blue House PDX / Private, Bright & Eco",Hosford-Abernethy,0,128,30,191,25
976,Cozy Two Bedroom Downstairs Living Space,Parkrose Heights,1,120,1,55,46
977,"Private apartment in bungalow, AC, 2 bikes",Eliot,0,99,3,234,0
978,Cozy Private Apartment by the Park-Hawthorne Area,Richmond,0,55,1,690,63
979,Cozy Private Dwelling in Cathedral Park / St Johns,Cathedral Park,0,110,2,60,0
980,Fantastic room for your extended stay needs,Buckman,1,41,30,1,109
981,Giesy Flat - Historic NW 23rd Alphabet District,Northwest District,0,182,3,92,167
982,Waterfront dream home 10 min to PDX airport,Argay,0,189,6,36,0
983,1 bedroom apartment - Portland's Best Neighborhood,Northwest District,0,115,3,93,341
984,"Extended stay room, close-in, w/ private bath, A/C",Buckman,1,46,30,0,110
985,Close-in room for your extended stay needs,Buckman,1,43,30,1,108
986,Portland / St. Johns Close-In Cozy  Studio,Cathedral Park,0,58,7,45,323
987,The Place,Humboldt,1,50,2,93,77
988,The Sequoia,Richmond,1,48,31,3,87
989,"Magnolia House, Birthday Room",Laurelhurst,1,42,1,94,0
990,Walk Everywhere!  | Entire Apartment | Immaculate,Sunnyside,0,134,2,279,83
991,Cozy Room(s) in St Johns with Private Bath,St. Johns,1,68,1,101,321
992,Stylish apartment in amazing location.,Overlook,0,75,1,171,11
993,Relaxing santuary in inner NE Portland,King,1,74,30,2,365
994,The Vic Studio Apt 1A (30 day minimum rental),Northwest District,0,41,30,35,31
995,Cozy Private Retreat near Division Street,Richmond,0,79,2,176,69
996,Venture Inn Alberta,King,0,103,1,299,255
997,Comfy Hawthorne house near shops.,Mt. Tabor,0,119,30,2,64
998,BEST NEIGHBORHOOD IN PORTLAND!!! #17,Northwest District,0,62,30,11,106
999,7 Beds/3 bath/5 Bedrooms Portland Modern Home,West Portland Park,0,747,4,3,179
1000,Inn at Mona's,Glenfair,0,85,1,53,352
1001,Portland Southwest Suite Stay,Hayhurst,0,63,2,231,157
1002,SE House/Apartment with view,Lents,0,110,4,70,77
1003,"Eclectic Urban Oasis, Relaxing Suite Near U of P",Arbor Lodge,0,85,2,35,61
1004,Casita Viriditas - Alberta Arts Garden Studio,Vernon,0,110,1,102,163
1005,Greenwich Place,Arbor Lodge,0,76,30,119,292
1006,"Creative, cozy home in NE Portland",Cully,0,179,3,13,77
1007,Cozy Private Space in Hip Urban Portland,Kerns,1,50,1,49,148
1008,Private Cottage in Laurelhurst Neighborhood,Laurelhurst,0,90,3,58,58
1009,Waterfront Pearl Modern Large Home Away From Home,Old Town/Chinatown,0,115,31,4,355
1010,Family Friendly Home in Portland,Bridlemile,0,297,1,491,264
1011,NE PDX Guesthouse Bedroom,Woodlawn,1,29,30,9,275
1012,Welcome Home — Lents District,Lents,1,30,2,88,59
1013,Mid-Century Modern Meets Historic Streetcar Style,Boise,0,60,30,77,299
1014,Comfy Bedroom in Heart of NE PDX,Piedmont,1,34,30,16,327
1015,Eclectic Victorian Room with Private Bathroom,South Portland,1,51,2,324,113
1016,The Bridge House: A Modern NE Portland Loft,King,0,197,2,200,83
1017,"Spacious 1,000 sq ft 2 bed/1 bath w/ Private Entry",Piedmont,0,195,3,142,165
1018,Bright and Airy 1bd/1ba Private Apt,Concordia,0,90,2,66,167
1019,Sun-filled River Front Studio,Portland Downtown,0,60,30,15,195
1020,Private Room and Bathroom near Alberta,King,1,75,1,176,209
1021,The Sunstone House - 2 BR in the Best Part of Town,Richmond,0,128,2,140,351
1022,Hawthorne Hideaway-Close To Food and Fun!,Richmond,0,94,2,248,87
1023,"King Bed, Easy Parking, Full Kitchen, W/D near Max",Piedmont,0,125,3,87,22
1024,Mid-Century Woodstock Duplex,Mt. Scott-Arleta,0,75,30,14,88
1025,Large Basement unit near Mississippi and Alberta,King,0,84,1,170,29
1026,The Laurel/Portland.Peaceful.Fun,Laurelhurst,0,98,1,420,354
1027,"The Nest: New, very clean N Portland studio 512 SF",Humboldt,0,90,1,399,58
1028,Standard Private Room @ NW Portland Hostel,Northwest District,1,87,1,122,365
1029,"Private Family Suite, 4 Adults Central NE Portland",Beaumont-Wilshire,0,123,2,13,346
1030,Oasis in the City,Northwest District,0,189,3,127,96
1031,Charming Mansion Apt by trendy NW 23rd ave,Northwest District,0,129,30,108,89
1032,"★ Pop Art PDX - Private Hot Tub, King Beds, Games and more!",Mt. Tabor,0,385,2,90,74
1033,Alberta Arts District Apartment,Concordia,0,135,2,286,163
1034,St Johns Urban Sweet!,St. Johns,0,68,2,203,133
1035,Work & Relax at the Treehouse Organic Modern Apt.,Forest Park,0,99,30,31,175
1036,Division St. Casita del Jardin (Garden Cottage),Richmond,0,140,2,115,107
1037,Spacious Mid-Century Modern Apartment,Overlook,0,148,30,76,282
1038,Vintage style and quiet comfort,Eastmoreland,0,150,2,82,215
1039,Boho Digs in Heart of Portland's Hippest Hood!,Sunnyside,0,73,30,123,290
1040,The Little House in the Heart of Concordia,Concordia,0,80,2,214,132
1041,Stephens Street Gallery & Guesthouse,Richmond,0,115,2,132,1
1042,"Magnolia House, morning sunshine",Laurelhurst,1,34,1,15,10
1043,Charming Nob Hill Studio,Northwest District,0,63,1,484,234
1044,A Walkers Paradise. 2 BR APT. Close to Downtown.,Northwest District,0,114,1,397,162
1045,Roomy and Remodeled Downtown Retreat,South Portland,0,349,3,102,61
1046,✺The Famous Atomic Ranch on Mt Tabor: King Beds!✺,Mt. Tabor,0,467,2,146,71
1047,★ Light & Bright N. Portland Studio!,Portsmouth,0,75,1,137,130
1048,The Backyard Bungalow! Big Living; Small House,Richmond,0,110,2,230,297
1049,Private Room (2 beds) in NW Portland Hostel,Northwest District,1,107,1,72,365
1050,Beautiful private Apartment,Powellhurst-Gilbert,0,300,30,14,365
1051,"Elegant, dog-friendly downtown condo with wrap-around views!",Portland Downtown,0,239,1,56,365
1052,Chic studio-style condo downtown w/ city views - dogs OK!,Portland Downtown,0,160,1,59,365
1053,Bring your dog to downtown Portland and amazing highrise views!,Portland Downtown,0,187,1,76,365
1054,Vintage Modern Historic Hawthorne,Hosford-Abernethy,0,99,30,162,43
1055,Spacious and Clean NE Portland,Rose City Park,0,82,3,162,340
1056,Cozy home away from home in NE Portland,Cully,0,133,2,201,252
1057,Nest NW Portland One Bedroom,Northwest District,0,120,30,117,0
1058,Cozy Cottage in Mt. Scott,Mt. Scott-Arleta,0,71,1,239,67
1059,Woodlawn 2bed/1ba Only Steps to Pubs & Cafes,Woodlawn,0,81,1,472,160
1060,The Book House: Quiet Queen,Portsmouth,1,50,1,48,319
1061,Medistation West,Humboldt,1,55,3,49,83
1062,Medistation East,Humboldt,1,55,3,52,168
1063,Everything You Need Rain or Shine,Portsmouth,0,121,2,119,77
1064,*Classic Portland Charm* Peninsula Park Retreat,Piedmont,0,135,30,10,1
1065,Modern Oasis- hip/cute/walkable/close to downtown,Kerns,0,95,2,218,355
1066,Two Clean Quiet Secure Guest Rooms in SW  Home,West Portland Park,1,55,3,64,0
1067,North Tabor Basement Suite,North Tabor,1,32,30,11,106
1068,The Buffalo House-Newly Built Portland Digs,Arbor Lodge,0,143,2,405,96
1069,Home Sweet Home in St. Johns,Cathedral Park,0,175,2,73,62
1070,Mid-Century SW Hills Garden Setting,Collins View,0,85,30,8,237
1071,❤️ CLEAN ★ NEAR DOWNTOWN ★ PATIO ★ WALKABLE,North Tabor,0,120,2,158,289
1072,Prime Location! Stylish Home in Vibrant N Williams,King,0,199,2,93,301
1073,Charming apartment in the middle of Portland!,Creston-Kenilworth,0,108,7,67,355
1074,Magic Attic,Richmond,1,39,1,120,0
1075,The Magic Second Floor,Richmond,1,32,1,92,0
1076,Come play with my cool cats! Tons of amenities!,Madison South,1,86,3,153,30
1077,Modern 7 bedroom/ 9 Real Beds/ in Portland,West Portland Park,0,643,30,2,123
1078,NE Irvngtn Bungalow,Irvington,0,190,3,10,293
1079,Quintessential Portland Apartment on Hawthorne,Sunnyside,0,158,1,323,107
1080,Luxury Studio Near Portland's Favorite Restaurants,Sunnyside,0,91,30,123,202
1081,Peaceful Guesthouse in Rose City Pk,Rose City Park,0,88,30,2,322
1082,Ladd's Subtraction,Hosford-Abernethy,0,75,2,80,61
1083,Cozy home in the Alberta Arts District,Vernon,0,145,30,7,344
1084,The Fox Chase Inn,Concordia,1,65,30,3,52
1085,The Pink Door - Private 2 BD w/ Laundry in NE Home,North Tabor,0,99,30,150,300
1086,New Gorgeous Modern Apt in Historic Victorian,Woodlawn,0,129,2,146,260
1087,Updated 3 BR Condo in Historic Alphabet District,Northwest District,0,300,30,28,89
1088,Queen Room with Private Bathroom,Northwest District,1,117,1,28,359
1089,FoPo studio apartment,Foster-Powell,0,86,2,142,355
1090,BEST NEIGHBORHOOD IN PORTLAND,Northwest District,0,69,30,19,227
1091,Come to Church for your comfort!,Hosford-Abernethy,1,95,1,120,69
1092,Alberta Arts Haven,King,0,49,1,355,71
1093,The Magic House,Richmond,0,307,1,119,251
1094,Cozy and Stocked Alberta Studio,King,0,65,4,168,78
1095,Bright and modern studio.,Beaumont-Wilshire,0,65,2,241,347
1096,Williams Studio Retreat: NO CLEANING FEE,Boise,0,94,2,138,327
1097,Bar 3728,Richmond,0,70,5,77,43
1098,The Book House. Quiet Stay: Twin Bed with Balcony,Portsmouth,1,48,1,41,324
1099,Disinfected studio ENTIRE FLOOR private bathroom,Buckman,0,77,2,252,179
1100,"NoPo Getaway, with amazing nature access",St. Johns,0,46,2,23,83
1101,Basement Apartment in North Portland,Arbor Lodge,0,60,1,175,170
1102,"Cozy Alley Cottage, Concordia/Alberta Arts, NE PDX",Concordia,0,99,2,216,49
1103,Concordia Fir Cabin,Concordia,0,69,2,376,167
1104,Redwood House PDX,Richmond,0,175,2,172,334
1105,The Nehalem House w/hi-spd fiber-optic wifi+Roku!,Woodstock,0,219,30,1,363
1106,Hawthorne Apartment w/ Jacuzzi Tub & Kitchen,Richmond,0,98,2,128,76
1107,2 Master Suites*Vibrant Division/Hawthorne Area!,Richmond,0,237,4,69,251
1108,"Bright, modern suite, close-in NE",Humboldt,0,65,2,381,58
1109,A tree house on a quiet street,Southwest Hills,0,125,1,99,17
1110,Cozy Quarters in East Portland,Mill Park,1,25,30,69,38
1111,Sellwood Garden Studio with Private Patio,Sellwood-Moreland Improvement League,0,80,3,194,158
1112,"Clean, Private, Modern, Social-Distance-Friendly!",Concordia,0,128,1,209,272
1113,**Hot Tub** Bungalow in Walkable neighborhood,Overlook,0,229,4,52,87
1114,"Storybook Victorian, UNBEATABLE LOCATION!!!",Northwest District,0,432,2,118,51
1115,ON Alberta Street: Private Loft w/ Rooftop!,King,0,132,2,245,85
1116,Apt in the Woods next to OHSU,Homestead,0,80,2,120,158
1117,Sunlit Sanctuary in Historic Kenton,Kenton,0,150,7,256,77
1118,"Spacious, northeast suite near pubs,  duds & grub",Grant Park,0,93,2,154,99
1119,"Cozy, Convenient Sellwood Retreat",Sellwood-Moreland Improvement League,0,101,2,224,250
1120,Cozy Spa Sanctuary w/ Soaking Tub,Richmond,0,99,2,231,65
1121,Urban Oasis in Irvington/Walk to Convention Center,Eliot,1,105,30,123,77
1122,The Nest/Portland.Peaceful.Fun,Sunnyside,0,126,1,271,343
1123,Book Your Winter Getaway: Best Location in SE PDX,Mt. Tabor,0,76,2,322,171
1124,NEW! Modern 3 bed designer Nest Historic Central,Buckman,0,112,2,62,76
1125,Valentina's Little Sister,Hillside,0,156,3,149,61
1126,Historic Jacobberger House  Downtown Portland,Southwest Hills,0,614,3,11,258
1127,Luscious Eastmoreland Guesthouse near Reed College,Eastmoreland,0,115,3,150,288
1128,Victorian Parlor Room. Permit# 18-247842-HO,Buckman,1,47,2,193,83
1129,Fabulous Guest Suite in  Historic Sellwood Home,Sellwood-Moreland Improvement League,0,94,2,81,4
1130,"Bright, Spacious Inner Southeast Basement Studio",Richmond,0,99,2,212,142
1131,"Charming FoPo Retreat, Self Check-in!",Foster-Powell,1,80,2,124,161
1132,Beautifully Renovated 1910 Craftsman,Richmond,0,165,20,15,136
1133,Best Location in Portland! THE View,South Portland,1,160,30,0,83
1134,Spacious Mid Century Large house Airy and Spacious,Hillsdale,0,436,30,7,365
1135,"St. Johns neighborhood, privacy and comfort",St. Johns,1,75,1,104,170
1136,Super Close-In SE Hawthorne Duplex,Buckman,0,94,1,222,139
1137,/// Brand new studio / on MAX line to airport,Rose City Park,0,64,2,198,83
1138,"Artistic, private, comfortable Portland home.",University Park,1,70,2,74,272
1139,Glamorous Suite w/Round Bed in SE,Hosford-Abernethy,0,101,2,153,353
1140,ZEN HAUS. An inner SE Hawthorne/Division Studio.,Richmond,0,99,1,388,211
1141,"Beautiful, Contemporary Farmhouse",Beaumont-Wilshire,0,100,2,231,52
1142,Mid-Mod Prescott Pad,Cully,0,94,2,101,341
1143,Cool Green-built Modern Guest House near Alberta,King,0,125,4,135,79
1144,Relaxing retreat in sweet bungalow,Roseway,0,153,2,19,0
1145,"Sanitary, Sequestered, Self-sufficient+Superhosted",Concordia,1,58,1,215,177
1146,Beautiful Arbor Lodge,Arbor Lodge,0,100,30,2,0
1147,★ Walk to Belmont - 2-bed/1-bath - Walk Score: 95!,Buckman,0,378,2,239,71
1148,★ Walk to Belmont - 3-bed/1-bath - Walk Score: 95!,Buckman,0,214,2,224,76
1149,Rose Garden Guest Suite w/ Private Entrance,Hazelwood,0,55,2,254,159
1150,Modern Luxury Apartment - Prize City Location,King,0,149,2,271,345
1151,Clinton/Division bright & airy room,Hosford-Abernethy,1,62,1,132,0
1152,Lille Hus: Sweet backyard house in great location,Hosford-Abernethy,0,95,7,38,38
1153,Potter's cottage on urban farmette with a hot tub,Cully,0,138,2,157,25
1154,Southwest Portland,Multnomah,0,175,2,0,365
1155,"Modern Studio Apt in Laurelhurst, Near Downtown",Laurelhurst,0,78,2,159,64
1156,Escape to the Alberta Nest,Vernon,0,98,2,244,314
1157,Clinton/Division Bunk Room,Hosford-Abernethy,1,62,1,118,0
1158,The Tower at Overlook. Standalone No shared spaces,Overlook,0,110,2,91,223
1159,Charming Home in Inner Southeast Portland,Sunnyside,0,150,1,282,280
1160,Modern Guest House in Heart of Historic Kenton,Kenton,0,63,2,98,66
1161,"Comfortable Home, Great Location",Richmond,0,80,1,5,2
1162,Washington Park Suite - Near Rose Gardens,Arlington Heights,0,130,2,132,161
1163,Blissfully Quiet River Views-Close To Everything.,South Portland,0,144,2,178,92
1164,Overlook Bungalow,Overlook,0,110,7,61,15
1165,Milan House a quiet relaxation after an active day,Powellhurst-Gilbert,1,77,2,230,253
1166,New Modern Private Apartment Close to NW 23rd St,Hillside,0,145,2,155,162
1167,Casa de Campo in the Heart of Belmont-Hawthorne,Sunnyside,0,104,2,205,167
1168,Retreat NW Portland One Bedroom,Northwest District,0,140,30,118,364
1169,The Vic 2A-Private Hotel style suite,Northwest District,1,36,4,497,4
1170,Mt Tabor 1 Bedroom,Mt. Tabor,0,59,30,8,128
1171,Portland Sanctuary,Piedmont,0,145,1,138,134
1172,Industrial vibe studio in perfect location,Overlook,0,93,30,167,151
1173,Portland Experience Awaits You!,Multnomah,1,34,31,12,274
1174,"Bright, New Apartment in Hip & Accessible Kenton",Kenton,0,78,1,343,45
1175,"Brand New, Modern Apartment in Trendy NE PDX",King,0,100,1,128,0
1176,"Luxury Private Room, Modern Home, All Five-Stars",Sabin,1,46,2,78,23
1177,Nature Lovers Paradise in Portland Heights,Southwest Hills,0,129,2,35,77
1178,Alberta Arts Room Overlooking Neighborhood,King,1,60,31,23,296
1179,The Crow;s Nest @ The Gilman,Kerns,1,182,31,1,365
1180,Urban Retreat! Beautiful Basement Apartment.,Roseway,0,92,2,71,260
1181,Private Garden Loft Apartment,Piedmont,0,58,1,302,327
1182,Hollywood Haven,Rose City Park,0,104,3,145,346
1183,Gypsy Caravan at the Garden Oasis,Sabin,0,65,3,86,15
1184,"Stylish Cozy Backyard Studio,Private Covered Patio",Madison South,0,61,1,451,86
1185,The Flying Whale-MountTabor.,Mt. Tabor,0,178,2,226,37
1186,littlebluepdx,Concordia,0,69,2,282,162
1187,•1898UrbanVictorian Loft view near Convention Ctr.,Kerns,0,130,1,93,170
1188,The artFlat / Portland.Peaceful. Fun,Richmond,0,104,1,214,363
1189,Rad Daylight Basement in 1959 Split Level Ranch,Creston-Kenilworth,1,54,1,311,340
1190,Pet Friendly with Fast Wifi & Easy Parking,King,0,100,2,127,12
1191,Home at the Burrow,Kenton,0,95,2,119,83
1192,Multnomah Village Guest House,Multnomah,0,80,1,166,54
1193,Spacious Apartment in Trendy NW Portland,Northwest District,0,106,2,230,105
1194,"Sweet Hideaway in the trees, Mount Tabor",Mt. Tabor,0,56,1,462,54
1195,Quaint Basement Studio w/ Hot Tub and Private Deck,Hayhurst,0,68,1,369,240
1196,Two Stories Guest Cottage  with Deck and Grill.,Richmond,0,121,4,21,229
1197,Convention Center/ Moda/ Eliot/ West Irvington,Eliot,0,185,2,141,252
1198,Buckman Below: A comfortable basement guest suite,Buckman,0,99,2,211,37
1199,Cozy Private 800 sq. ft. Downstairs in St. John's!,St. Johns,0,94,3,106,73
1200,Privacy & Peace steps from OHSU,Homestead,1,50,1,12,335
1201,"The LaunchPad: clean, mod, convenient guest house",Overlook,0,70,3,113,255
1202,Modern Chic Studio in Vintage FoPo Building,Foster-Powell,0,58,59,72,170
1203,Gateway to Alberta Arts!,King,0,125,2,69,365
1204,Ultra Clean 2 Bedroom with HEPA Air Purifier,Arbor Lodge,0,134,1,309,179
1205,Cozy Modern Apartment on Alberta St,Overlook,0,108,2,242,75
1206,Orchard View,Hayhurst,0,115,4,52,353
1207,Laurelhurst Historic Dougan Suites,Laurelhurst,1,218,1,73,340
1208,Alberta Loft,Cully,0,101,2,126,132
1209,The Tiny Big Guest House,Creston-Kenilworth,0,99,2,272,284
1210,English Cottage on Mt. Tabor,Mt. Tabor,1,75,28,96,0
1211,"Secluded, Cozy Patio Cottage Right By All The Action!",Humboldt,0,108,2,131,365
1212,"Peaceful, Modern Private Suite! Close to Reed!",Reed,0,95,2,187,80
1213,Comfy Condo Downtown Portland 97201 Extended Stay,Portland Downtown,0,62,31,8,47
1214,"Rejuvenate & Rest • sauna, soaking tubs, fire, …",Cully,1,59,1,38,46
1215,A house of roses and light,Alameda,1,229,1,157,178
1216,Floating holiday home,Hayden Island,0,300,2,109,347
1217,Lovely SE Mt. Tabor residence,South Tabor,0,238,3,24,69
1218,★ Magic Caravan★,Boise,0,95,2,176,79
1219,Taylor Street Cottage,Sunnyside,0,86,2,244,190
1220,Tranquil Little House (Private)-Pets Stay for Free,Woodstock,0,101,1,488,306
1221,Williams 1br luxe: NO CLEANING FEE,Boise,0,124,2,84,347
1222,Creative Corner in Mississippi Arts District,Humboldt,0,93,3,306,12
1223,Spacious 2 Bdrm In Popular SE Hawthorne,Sunnyside,0,125,31,80,280
1224,"Savor the Laid-Back, Bohemian Feel at a Sunny Urban Abode",Boise,0,130,2,226,64
1225,Belmont/Hawthorne Large Private Room & Bath,Buckman,1,60,2,192,22
1226,"Castle like home in SW PDX, minutes to downtown!",Southwest Hills,0,259,4,76,346
1227,Two Bedroom Getaway NE Alberta Arts area: THE DUPE,King,0,121,2,62,0
1228,Spacious garden retreat near SE Hawthorne,Richmond,0,110,2,5,121
1229,Two Bedroom Alberta Arts Apartment,Alameda,0,96,4,211,72
1230,Pure Privacy in Multnomah Village,Multnomah,0,109,2,134,118
1231,Modern Alberta Apartment,Vernon,0,89,2,174,18
1232,White Alder Guest House in the heart of Division,Richmond,0,104,2,224,306
1233,Fabulous one bedroom apartment off Division,Richmond,0,89,1,145,0
1234,1898UrbanVictorian Parlor Apt.near Convention Ctr.,Kerns,0,129,1,74,179
1235,Hazelwood Haven: 1 BR w/private entrance & bath,Hazelwood,1,41,2,197,35
1236,Entire Main Floor Bungalow - Min 30 Night Stay,Woodlawn,0,109,30,5,166
1237,Private bedroom off Hawthorne Blvd Mt Tabor,Richmond,1,60,1,104,351
1238,Vintage-Modern Large Hawthorne Suite. A+ location,Richmond,0,133,3,174,79
1239,TheBuffaloBee-Private Suite+Balcony-Clean & Quiet!,Arbor Lodge,0,84,3,106,85
1240,Portland Home with garden,Alameda,0,275,30,7,340
1241,Bedroom in Hip Mississippi neighborhood home,Boise,1,35,14,64,92
1242,Decompress at a Soothing Suite in Shades of Elegant Gray,Boise,0,107,1,453,255
1243,Stylish North Portland home with beautiful view,University Park,0,171,3,79,73
1244,Piedmont Private Retreat,Piedmont,0,115,10,97,62
1245,Restored Buckman Craftsman-your perfect home base`,Buckman,0,261,2,122,0
1246,Otter House PDX | Floating on the Columbia River,Bridgeton,0,287,2,3,135
1247,Bright + Modern Alberta Arts Apartment,Vernon,0,65,2,226,58
1248,Charming Retreat in the Heart of Hip Hawthorne,Richmond,1,35,2,152,0
1249,Newly finished Nob Hill condo w/ great walkability and central location,Northwest District,0,217,1,127,323
1250,"Sleek townhome w/patio - walk to amazing restaurants, breweries, trails & shops!",Northwest District,0,214,1,133,279
1251,"Stylish new condo in trendy NW District, walk to swankiest spots!",Northwest District,0,170,1,50,365
1252,Beautiful space w/ patio and central location - walk to absolutely everything!,Northwest District,0,216,1,90,323
1253,"Family-friendly, modern condo w/ great location! Walk to restaurants!",Northwest District,0,170,1,58,365
1254,Spacious & sleek condo in the heart of the Alphabet District!,Northwest District,0,324,2,45,354
1255,"New condo offers great location, plenty of services, walk everywhere!",Northwest District,0,170,1,68,363
1256,Newly finished Nob Hill Condo w/ central location perfect for exploring city,Northwest District,0,214,1,45,351
1257,Cedar Grove Cottage with Superhost near Airport!,Sumner,0,123,1,218,0
1258,Executive Gem In the Heart of Hawthorne,Buckman,0,130,5,45,210
1259,Bright and Spacious Private Room in Shared Home,Creston-Kenilworth,1,58,8,14,89
1260,Wonderful 4 bedroom Family home with Mt Hood View,Multnomah,0,160,5,16,76
1261,Explore Portland on Foot from an Eclectic Retreat,Boise,0,155,1,511,246
1262,Basement Apartment + Garden Lodge,St. Johns,0,199,2,22,50
1263,"2 room apt w/game table, bunk bed, office,backyard",Hillsdale,0,123,2,304,132
1264,Welcoming 1 bedrm eco tiny house near NE Alberta.,King,0,65,2,302,175
1265,Private hot tub in beautiful Rose City,Roseway,0,152,2,309,331
1266,Luxurious Cape Cod in Central Eastside,Mt. Tabor,0,50,1,241,31
1267,Quick's Cozy Cottage,Humboldt,0,89,2,39,85
1268,New Listing- Modern Guest House,Parkrose Heights,0,146,2,210,0
1269,"Rejuvenate & Rest • sauna, soaking tubs, fire, ...",Cully,1,35,1,282,65
1270,Sellwood  lovely 1bed w/private space/entrance,Sellwood-Moreland Improvement League,1,41,30,20,352
1271,Private Handcrafted Cottage,Piedmont,0,85,2,257,27
1272,"Old World Elegance--3 room suite, private entrance",Reed,1,70,1,116,260
1273,"NoPotel, comfortable guesthouse in Portland!",St. Johns,0,108,2,227,148
1274,★Modern Nob Hill Getaway★,Northwest District,0,107,2,256,244
1275,Mid Century Portland Sanctuary.,King,0,532,1,38,365
1276,Modern Mississippi Bungalow,Boise,0,200,3,12,16
1277,"Bright new home near pubs, parks and University!",University Park,0,125,2,31,0
1278,Stylish Craftsman Close to Downtown,Irvington,0,194,1,247,278
1279,Elegant SE Portland/Reed College BLUE MOON SUITE,Eastmoreland,0,142,2,258,221
1280,"★ Bright, New In-law suite in PDX, Alberta Arts",Vernon,0,140,1,82,173
1281,Tiny house- Studio,Creston-Kenilworth,0,85,2,244,83
1282,Mid Century Modern Woodstock Apartment,Woodstock,0,85,2,66,0
1283,Woodstock Getaway Private Suite and Garage Parking,Brentwood-Darlington,0,95,1,183,268
1284,"Ease, Elegance, Best of NW PDX",Northwest District,0,275,31,2,177
1285,Cozy Hideaway: Walk to Pittock Mansion & trails,Hillside,0,100,2,156,290
1286,williams5pdx modern loft / local artist gallery,Humboldt,0,184,2,97,108
1287,★ Bright & Colorful 2-bed With HOT TUB!!,Kenton,0,220,1,86,158
1288,Spacious Suite* Private Bath*Vibrant Neighborhood,Richmond,1,59,2,51,43
1289,2 BR Family Friendly Luxury Suite in SE Woodstock,Woodstock,0,109,1,274,301
1290,Hot Tub. Secluded Getaway In the City.,University Park,0,195,1,572,72
1291,Retreat in a Japanese/Modern home,Sabin,0,245,2,20,352
1292,St Johns Cutie,St. Johns,0,89,14,31,103
1293,Between Now and Zen,Madison South,0,50,2,129,85
1294,"Upscale quiet 2BR (1400sf)near downtown,pool table",Northwest Heights,0,126,2,55,159
1295,Charming Cottage park like setting -Monthly,Pleasant Valley,0,99,30,11,118
1296,Garden Sanctuary near Airport with Superhost!,Sumner,0,86,1,305,166
